# periods, rho, phi
7.693211,279.270634,20.062280
7.517875,265.250967,20.890334
7.346536,256.436477,20.415609
7.179101,242.933819,17.723087
7.015483,185.413823,25.841071
6.855593,213.821302,21.479420
6.699348,210.353223,23.134987
6.546664,193.197301,23.972977
6.397459,174.720229,22.715227
6.251655,248.849873,21.703291
6.109174,171.408989,25.592787
5.969940,170.314439,25.148875
5.833879,133.353392,23.180612
5.700920,177.635520,21.956702
5.570990,248.617033,20.308804
5.444022,252.797897,20.508461
5.319948,177.314509,21.091165
5.198701,221.771374,19.191744
5.080218,171.976401,18.607402
4.964435,165.992791,15.524090
4.851291,159.860374,19.755681
4.740725,195.449636,18.640447
4.632680,169.552480,23.899063
4.527097,142.427974,23.460383
4.423920,118.191158,25.051264
4.323095,182.064295,21.333134
4.224567,140.531165,22.944263
4.128285,170.784885,19.807689
4.034198,165.531247,20.949450
3.942255,164.897946,17.785453
3.852407,134.919726,27.695958
3.764607,204.871216,14.909111
3.678808,165.384712,20.509487
3.594965,169.663424,19.094641
3.513032,123.167947,21.619235
3.432967,132.843915,21.284653
3.354726,135.477729,20.302253
3.278269,171.449488,20.363634
3.203554,109.935346,21.468125
3.130542,122.435773,23.861816
3.059194,138.166864,22.654625
2.989472,121.941409,20.857273
2.921339,105.993972,25.273802
2.854759,116.846767,17.687589
2.789696,108.317398,16.431240
2.726117,125.042052,20.071366
2.663986,134.595019,21.907951
2.603271,117.813007,21.832721
2.543940,126.346819,18.864108
2.485961,82.049412,26.387759
2.429304,106.598358,20.738154
2.373938,91.537060,22.909586
2.319834,115.642654,19.589937
2.266962,111.916638,21.883560
2.215296,131.808992,19.328443
2.164807,181.626699,14.201554
2.115469,97.593455,18.522066
2.067256,112.190583,17.754814
2.020141,58.252016,23.363811
1.974100,106.247866,21.435425
1.929109,73.924431,21.782829
1.885142,95.480101,18.685942
1.842178,107.565550,18.880951
1.800193,100.708266,17.944884
1.759165,123.183880,17.366753
1.719072,115.866407,17.006111
1.679893,101.104569,17.661832
1.641607,75.189832,20.414834
1.604193,88.749161,19.626673
1.567632,112.356911,15.581867
1.531904,75.243610,25.562112
1.496990,92.208403,15.604537
1.462873,93.007948,19.629922
1.429532,54.718064,24.197446
1.396952,83.728831,21.552649
1.365114,95.832637,18.749597
1.334002,95.226922,18.252110
1.303599,65.930303,20.161756
1.273888,82.219662,15.814366
1.244855,84.324489,17.232955
1.216484,72.017599,22.149172
1.188759,88.385952,15.068256
1.161666,63.748319,22.340111
1.135191,66.890645,23.544164
1.109319,48.861719,26.367259
1.084036,76.075062,20.113286
1.059330,81.746726,16.765546
1.035187,81.517092,17.764997
1.011594,76.068886,19.121929
0.988539,78.088594,21.040120
0.966009,50.100680,24.080694
0.943993,63.585745,20.976864
0.922478,59.497334,26.611392
0.901454,68.442321,23.954431
0.880909,54.782171,20.490840
0.860832,62.123613,20.250344
0.841213,89.312450,18.215641
0.822041,72.255778,19.316066
0.803306,55.903726,22.493415
0.784998,63.547972,22.931362
0.767107,55.426283,20.950621
0.749624,46.964819,24.378096
0.732539,62.669442,22.074532
0.715844,54.416466,21.211303
0.699529,57.153976,23.348998
0.683587,53.982183,22.917823
0.668007,53.637299,24.897362
0.652782,49.262570,24.159217
0.637905,56.914509,23.600881
0.623366,66.661972,21.573543
0.609159,54.071534,19.012676
0.595276,59.627223,26.523844
0.581709,41.526483,22.982106
0.568451,49.048766,26.130330
0.555496,52.207133,21.621253
0.542836,49.400285,26.014571
0.530464,57.192827,27.297999
0.518374,55.723257,22.750687
0.506560,50.731378,22.179294
0.495015,39.035974,26.953078
0.483733,47.118600,20.411477
0.472708,40.514579,24.878780
0.461935,45.941586,23.534845
0.451407,47.334259,24.057858
0.441119,48.988208,19.193765
0.431065,57.962684,24.591734
0.421241,43.905235,26.476948
0.411641,45.289868,22.435156
0.402259,44.024318,26.760683
0.393091,45.044915,27.147177
0.384132,41.580034,25.663250
0.375377,35.034942,26.798234
0.366822,39.956794,30.847177
0.358462,39.740072,23.281882
0.350292,41.538188,24.910820
0.342309,23.479875,36.763173
0.334507,30.595079,31.948940
0.326883,30.515521,25.326079
0.319434,38.761878,22.203701
0.312153,35.189400,28.408646
0.305039,42.047881,27.272428
0.298087,35.384289,25.222015
0.291293,47.763289,22.072577
0.284654,46.723397,22.711634
0.278167,44.526759,27.290777
0.271827,30.581530,31.162138
0.265632,40.705678,27.607981
0.259578,34.363983,29.044144
0.253662,30.909229,26.013821
0.247881,39.103844,24.638522
0.242231,42.892251,26.549196
0.236711,29.137170,30.207309
0.231316,30.853641,26.972263
0.226044,35.258637,26.257083
0.220892,43.421508,27.039951
0.215858,28.543264,31.006489
0.210938,29.254712,25.461603
0.206131,38.651432,29.034116
0.201433,36.144852,25.927829
0.196842,36.991130,26.310441
0.192356,39.308253,31.236729
0.187972,30.054006,25.507369
0.183688,30.680501,31.890091
0.179501,35.362351,24.192762
0.175410,30.190071,30.774126
0.171413,33.966553,30.931639
0.167506,25.542744,31.331266
0.163688,35.441878,28.604462
0.159958,33.692921,31.691264
0.156312,30.929455,31.234458
0.152750,26.210414,27.566141
0.149268,24.088236,34.160043
0.145866,27.253712,29.297898
0.142542,28.970740,27.537028
0.139293,29.111038,30.325462
0.136119,22.062883,26.565234
0.133016,35.283590,28.250670
0.129985,17.928285,38.002182
0.127022,29.230883,29.456278
0.124127,28.797237,27.211645
0.121298,28.190760,30.585327
0.118534,26.330868,31.141708
0.115832,29.439711,33.113418
0.113192,24.411938,31.729456
0.110613,27.315755,30.768482
0.108092,29.299740,32.368041
0.105628,31.636987,28.334607
0.103221,18.555670,38.466871
0.100868,27.284211,30.426785
0.098569,22.357689,25.531333
0.096323,27.346433,29.854129
0.094128,19.339711,33.909328
0.091982,23.419652,36.054877
0.089886,29.841357,34.426136
0.087837,25.848182,27.113591
0.085836,22.104131,39.319462
0.083879,30.612978,28.146909
0.081968,24.831852,27.084625
0.080099,16.917464,34.924332
0.078274,22.553735,32.135318
0.076490,22.886664,31.948708
0.074747,28.778551,34.505988
0.073043,27.346016,37.670289
0.071378,21.132378,33.156912
0.069752,24.623961,31.012307
0.068162,26.929625,28.524033
0.066608,28.450148,30.364817
0.065090,32.244881,26.338961
0.063607,22.800918,34.107578
0.062157,17.697399,41.636605
0.060741,24.722841,32.371530
0.059356,16.342482,33.371019
0.058004,26.363935,34.881549
0.056682,26.842609,27.467053
0.055390,19.063248,35.743373
0.054127,16.056748,37.957834
0.052894,27.394748,35.557241
0.051688,25.409640,37.117190
0.050510,23.537591,33.252105
0.049359,21.626707,34.830916
0.048234,20.822644,34.244468
0.047135,20.101406,36.534540
0.046061,19.729154,29.901579
0.045011,19.621834,32.403897
0.043985,16.614849,41.830920
0.042982,29.628446,36.059178
0.042003,24.828085,28.296576
0.041046,26.123915,34.213558
0.040110,16.985763,42.870626
0.039196,22.816027,33.275242
0.038303,21.565097,33.912829
0.037430,24.962175,29.624367
0.036577,19.920430,35.190266
0.035743,19.007056,29.016110
0.034928,24.618150,31.908712
0.034132,22.009463,33.836266
0.033354,19.101703,34.380881
0.032594,20.419402,35.047941
0.031851,23.583188,32.954121
0.031126,22.256553,40.392317
0.030416,14.891724,34.869787
0.029723,20.251494,33.607218
0.029045,14.875733,39.681449
0.028384,19.159372,40.221535
0.027737,19.175093,39.799928
0.027104,20.151909,33.557529
0.026487,19.736098,36.450759
0.025883,14.295775,43.672170
0.025293,20.509371,41.140502
0.024717,18.727331,40.507296
0.024153,14.386013,45.931215
0.023603,19.068239,34.208748
0.023065,17.981180,35.276480
0.022539,19.404144,34.231835
0.022026,14.250424,40.714679
0.021524,24.409330,30.641430
0.021033,18.442134,33.879385
0.020554,18.834031,35.910391
0.020085,18.622477,38.967503
0.019628,15.791556,38.301863
0.019180,18.841025,33.984419
0.018743,15.904023,41.244489
0.018316,15.088193,37.715629
0.017898,15.752358,38.253399
0.017491,16.110060,36.091302
0.017092,21.538299,38.935795
0.016702,17.357139,38.726263
0.016322,16.756087,37.620987
0.015950,20.090560,33.656206
0.015586,14.671259,36.695296
0.015231,15.860761,38.206030
0.014884,17.578323,30.518137
0.014545,13.831890,36.913193
0.014213,15.208865,45.565683
0.013889,19.358844,41.631329
0.013573,15.649693,44.466102
0.013263,14.850845,37.597470
0.012961,13.621345,36.898492
0.012666,14.279300,41.397682
0.012377,13.697238,40.108839
0.012095,17.326355,38.718161
0.011819,17.060500,37.539804
0.011550,17.479367,35.564786
0.011287,15.998844,33.282210
0.011029,17.179676,44.248582
0.010778,15.373673,35.123574
0.010532,18.987276,33.230186
0.010292,13.226244,34.737786
0.010058,16.462632,32.132138
0.009829,15.677859,40.554441
0.009605,16.173191,36.555581
0.009386,16.828892,40.980868
0.009172,20.103510,30.549489
0.008963,19.338925,40.800662
0.008758,17.143423,32.771805
0.008559,14.109208,36.996053
0.008364,13.148167,38.391271
0.008173,15.355141,35.194770
0.007987,17.353917,35.625549
0.007805,15.692888,41.151066
0.007627,16.257305,37.519420
0.007453,18.038787,36.510004
0.007283,16.131542,40.556214
0.007117,19.563955,44.154575
0.006955,18.683402,37.942937
0.006797,17.730757,34.742017
0.006642,17.648736,34.573005
0.006490,12.852136,38.711595
0.006342,14.284834,32.006409
0.006198,14.450315,35.339426
0.006057,15.361043,34.014131
0.005919,19.389453,35.367327
0.005784,14.675307,46.540207
0.005652,13.460458,36.661793
0.005523,13.497454,42.759367
0.005397,16.837211,32.780951
0.005274,11.613723,37.770674
0.005154,19.330028,38.665332
0.005036,14.411083,40.747456
0.004922,14.289425,38.148676
0.004810,16.590555,36.987364
0.004700,14.538272,36.655087
0.004593,15.399274,35.462023
0.004488,14.506184,38.904502
0.004386,11.852408,41.217829
0.004286,13.665636,39.671999
0.004188,11.020159,38.294616
0.004093,18.331361,37.421149
0.003999,17.697487,40.913096
0.003908,14.537974,37.226051
0.003819,12.858626,31.782403
0.003732,12.924513,44.057546
0.003647,12.545401,34.869547
0.003564,16.002990,39.623668
0.003483,14.812132,36.892909
0.003403,12.441117,41.567649
0.003326,13.955908,36.658167
0.003250,14.935028,38.088719
0.003176,12.138372,31.877271
0.003104,17.345690,40.505379
0.003033,11.354573,35.667731
0.002964,13.996520,35.942830
0.002896,13.252795,45.162761
0.002830,12.045401,45.236355
0.002766,13.073499,46.741182
0.002703,13.832497,36.960658
0.002641,14.085153,40.288582
0.002581,15.453076,39.135001
0.002522,13.538482,36.335950
0.002465,12.899777,33.599347
0.002408,15.670632,38.885944
0.002354,14.762286,34.012231
0.002300,14.216092,41.079658
0.002247,13.021919,37.216041
0.002196,13.472139,38.670159
0.002146,13.862609,34.951623
0.002097,13.684824,39.253978
0.002049,13.939448,37.169243
0.002003,12.899386,38.877847
0.001957,12.802564,39.386065
0.001913,15.536902,47.530724
0.001869,10.320512,38.482150
0.001826,10.788972,39.794829
0.001785,14.190350,43.325915
0.001744,15.551160,35.910817
0.001704,9.683782,48.880276
0.001665,10.191619,42.159950
0.001627,11.311884,44.320241
0.001590,12.358755,43.637011
0.001554,12.884759,37.724273
0.001519,13.463705,41.991427
0.001484,12.776975,43.322797
0.001450,12.558509,40.584376
0.001417,14.913979,41.163827
0.001385,13.079463,38.565023
0.001353,11.862085,33.353507
0.001323,13.492502,31.905247
0.001292,12.959242,35.884744
0.001263,12.751689,38.203768
0.001234,11.767006,36.782951
0.001206,9.746528,48.048835
0.001179,10.588481,39.843110
0.001152,13.186139,47.325489
0.001125,11.511788,42.650171
0.001100,12.038811,47.621948
0.001075,8.927985,33.395333
0.001050,15.150190,30.526999
0.001026,14.543658,38.653353
0.001003,12.538453,37.719037
0.000980,13.342956,42.915097
0.000958,11.618107,41.757794
0.000936,13.161255,37.953377
0.000915,12.674641,45.335585
0.000894,12.044937,38.952007
0.000873,9.721662,39.562082
0.000853,13.871077,40.438020
0.000834,8.419005,45.485134
0.000815,15.585339,43.895803
0.000796,15.711383,37.425595
0.000778,12.999494,35.309491
0.000761,11.457909,34.688625
0.000743,11.068159,42.963310
0.000726,15.390917,36.972892
0.000710,11.633742,39.215568
0.000694,10.370732,46.201911
0.000678,11.159040,42.181290
0.000662,10.355057,43.516398
0.000647,9.966193,46.710542
0.000632,14.052845,39.529924
